Area Code,Date,Territory,Territory Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses
970,1/1/2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,$100 ,$140 ,$110 ,$240 ,$95 ,821,$139 ,$26 ,$101 ,$234 ,$38 
309,1/1/2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,$100 ,$140 ,$100 ,$240 ,$95 ,608,$139 ,$30 ,$87 ,$234 ,$52 
614,1/1/2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,$60 ,$90 ,$20 ,$150 ,$63 ,435,$87 ,$57 ,$0 ,$150 ,$87 
720,1/1/2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Colorado,Decaf,$80 ,$130 ,$80 ,$210 ,$72 ,558,$108 ,$23 ,$53 ,$180 ,$55 
630,1/1/2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Illinois,Decaf,$260 ,$270 ,$180 ,$530 ,$228 ,"1,459",$228 ,$63 ,$140 ,$456 ,$88 
614,1/1/2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Ohio,Decaf,$60 ,$90 ,$40 ,$150 ,$58 ,338,$72 ,$22 ,$16 ,$130 ,$56 
754,1/1/2012,East,Major Territory,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,$80 ,$110 ,$70 ,$190 ,$84 ,500,$116 ,$26 ,$67 ,$200 ,$49 
754,1/1/2012,East,Major Territory,Decaf Espresso,Beans,Espresso,Florida,Decaf,$70 ,$100 ,$60 ,$170 ,$77 ,432,$103 ,$25 ,$50 ,$180 ,$53 
325,1/1/2012,South,Major Territory,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,$100 ,$130 ,$100 ,$230 ,$83 ,623,$107 ,$27 ,$68 ,$190 ,$39 
956,1/1/2012,South,Major Territory,Decaf Espresso,Beans,Espresso,Texas,Decaf,$40 ,$70 ,$60 ,$110 ,$54 ,456,$80 ,$15 ,$54 ,$134 ,$26 
650,1/1/2012,West,Major Territory,Decaf Irish Cream,Beans,Coffee,California,Decaf,$180 ,($40),($120),$140 ,$144 ,862,($26),$47 ,($117),$118 ,$91 
213,1/1/2012,West,Major Territory,Decaf Espresso,Beans,Espresso,California,Decaf,$220 ,$300 ,$200 ,$520 ,$234 ,"1,310",$312 ,$77 ,$203 ,$546 ,$109 
719,1/1/2012,Central,Major Territory,Amaretto,Beans,Coffee,Colorado,Regular,$90 ,$130 ,$100 ,$220 ,$89 ,777,$130 ,$24 ,$94 ,$219 ,$36 
740,1/1/2012,Central,Major Territory,Amaretto,Beans,Coffee,Ohio,Regular,$60 ,$80 ,$50 ,$140 ,$60 ,336,$80 ,$19 ,$34 ,$140 ,$46 
970,1/1/2012,Central,Major Territory,Colombian,Beans,Coffee,Colorado,Regular,$80 ,$110 ,$80 ,$190 ,$83 ,623,$107 ,$27 ,$68 ,$190 ,$39 
217,1/1/2012,Central,Major Territory,Colombian,Beans,Coffee,Illinois,Regular,$150 ,$210 ,$130 ,$360 ,$144 ,862,$201 ,$47 ,$111 ,$345 ,$90 
614,1/1/2012,Central,Major Territory,Colombian,Beans,Coffee,Ohio,Regular,$60 ,$80 ,$50 ,$140 ,$57 ,364,$83 ,$18 ,$42 ,$140 ,$41 
303,1/1/2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Colorado,Regular,$60 ,$90 ,$70 ,$150 ,$54 ,456,$80 ,$15 ,$54 ,$134 ,$26 
309,1/1/2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Illinois,Regular,$270 ,$370 ,$260 ,$640 ,$234 ,"1,310",$312 ,$77 ,$203 ,$546 ,$109 
614,1/1/2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Ohio,Regular,$190 ,$210 ,$140 ,$400 ,$170 ,"1,091",$171 ,$47 ,$99 ,$341 ,$72 
954,1/1/2012,East,Major Territory,Colombian,Beans,Coffee,Florida,Regular,$80 ,$110 ,$70 ,$190 ,$84 ,651,$126 ,$27 ,$68 ,$210 ,$58 
413,1/1/2012,East,Major Territory,Colombian,Beans,Coffee,Massachusetts,Regular,$60 ,$400 ,$360 ,$460 ,$72 ,558,$422 ,$23 ,$367 ,$494 ,$55 
716,1/1/2012,East,Major Territory,Colombian,Beans,Coffee,New York,Regular,$260 ,$380 ,$260 ,$640 ,$271 ,"2,101",$407 ,$94 ,$262 ,$678 ,$145 
239,1/1/2012,East,Major Territory,Caffe Mocha,Beans,Espresso,Florida,Regular,$70 ,$110 ,$30 ,$180 ,$79 ,551,$111 ,$72 ,$9 ,$190 ,$102 
781,1/1/2012,East,Major Territory,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,$60 ,$60 ,($10),$120 ,$63 ,435,$63 ,$57 ,($23),$126 ,$86 
315,1/1/2012,East,Major Territory,Caffe Mocha,Beans,Espresso,New York,Regular,$100 ,($50),($170),$50 ,$105 ,725,($44),$95 ,($172),$61 ,$128 
978,1/1/2012,East,Major Territory,Regular Espresso,Beans,Espresso,Massachusetts,Regular,$160 ,$170 ,$110 ,$330 ,$170 ,"1,091",$171 ,$47 ,$100 ,$341 ,$71 
631,1/1/2012,East,Major Territory,Regular Espresso,Beans,Espresso,New York,Regular,$210 ,$270 ,$200 ,$480 ,$228 ,"1,459",$262 ,$63 ,$175 ,$490 ,$87 
409,1/1/2012,South,Major Territory,Colombian,Beans,Coffee,Texas,Regular,$260 ,$300 ,$220 ,$560 ,$207 ,965,$245 ,$64 ,$159 ,$452 ,$86 
830,1/1/2012,South,Major Territory,Caffe Latte,Beans,Espresso,Texas,Regular,$60 ,$90 ,$50 ,$150 ,$72 ,558,$108 ,$23 ,$53 ,$180 ,$55 
325,1/1/2012,South,Major Territory,Caffe Mocha,Beans,Espresso,Texas,Regular,$70 ,$110 ,$90 ,$180 ,$89 ,777,$130 ,$24 ,$95 ,$219 ,$35 
916,1/1/2012,West,Major Territory,Amaretto,Beans,Coffee,California,Regular,$110 ,$70 ,$30 ,$180 ,$95 ,608,$50 ,$30 ,($2),$145 ,$52 
559,1/1/2012,West,Major Territory,Colombian,Beans,Coffee,California,Regular,$340 ,$500 ,$370 ,$840 ,$271 ,"2,101",$407 ,$94 ,$262 ,$678 ,$145 
661,1/1/2012,West,Major Territory,Caffe Latte,Beans,Espresso,California,Regular,$210 ,$220 ,$150 ,$430 ,$228 ,"1,459",$228 ,$63 ,$140 ,$456 ,$88 
818,1/1/2012,West,Major Territory,Caffe Mocha,Beans,Espresso,California,Regular,$100 ,$140 ,$20 ,$240 ,$105 ,725,$145 ,$95 ,$17 ,$250 ,$128 
970,1/1/2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,$140 ,$160 ,$110 ,$300 ,$170 ,"1,091",$171 ,$47 ,$99 ,$341 ,$72 
312,1/1/2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,$70 ,$120 ,$100 ,$190 ,$89 ,777,$130 ,$24 ,$95 ,$219 ,$35 
937,1/1/2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,$20 ,$50 ,$50 ,$70 ,$32 ,456,$48 ,$8 ,$29 ,$80 ,$19 
719,1/1/2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Colorado,Decaf,$50 ,$80 ,$20 ,$130 ,$63 ,435,$87 ,$57 ,$0 ,$150 ,$87 
630,1/1/2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Illinois,Decaf,$70 ,$90 ,$60 ,$160 ,$83 ,623,$107 ,$27 ,$68 ,$190 ,$39 
740,1/1/2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Ohio,Decaf,$20 ,$50 ,$50 ,$70 ,$32 ,821,$48 ,$8 ,$29 ,$80 ,$19 
970,1/1/2012,Central,Major Territory,Mint,Leaves,Herbal Tea,Colorado,Decaf,$50 ,$70 ,$40 ,$120 ,$60 ,336,$80 ,$19 ,$33 ,$140 ,$47 
773,1/1/2012,Central,Major Territory,Mint,Leaves,Herbal Tea,Illinois,Decaf,$80 ,$120 ,$100 ,$200 ,$95 ,821,$139 ,$26 ,$101 ,$234 ,$38 
863,1/1/2012,East,Major Territory,Chamomile,Leaves,Herbal Tea,Florida,Decaf,$30 ,$50 ,$30 ,$80 ,$48 ,623,$62 ,$15 ,$34 ,$110 ,$28 
239,1/1/2012,East,Major Territory,Lemon,Leaves,Herbal Tea,Florida,Decaf,$40 ,$50 ,$20 ,$90 ,$54 ,312,$66 ,$20 ,$13 ,$120 ,$53 
339,1/1/2012,East,Major Territory,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,$40 ,$60 ,$30 ,$100 ,$58 ,338,$72 ,$22 ,$17 ,$130 ,$55 
607,1/1/2012,East,Major Territory,Lemon,Leaves,Herbal Tea,New York,Decaf,$180 ,$190 ,$100 ,$370 ,$245 ,"1,419",$238 ,$93 ,$111 ,$483 ,$127 
772,1/1/2012,East,Major Territory,Mint,Leaves,Herbal Tea,Florida,Decaf,$50 ,$60 ,$40 ,$110 ,$69 ,965,$81 ,$21 ,$39 ,$150 ,$42 
845,1/1/2012,East,Major Territory,Mint,Leaves,Herbal Tea,New York,Decaf,$150 ,($10),($70),$140 ,$207 ,965,($27),$64 ,($113),$180 ,$86 
281,1/1/2012,South,Major Territory,Chamomile,Leaves,Herbal Tea,Texas,Decaf,$50 ,$80 ,$50 ,$130 ,$60 ,336,$80 ,$19 ,$33 ,$140 ,$47 
254,1/1/2012,South,Major Territory,Lemon,Leaves,Herbal Tea,Texas,Decaf,$50 ,$80 ,$50 ,$130 ,$57 ,364,$83 ,$18 ,$42 ,$140 ,$41 
510,1/1/2012,West,Major Territory,Chamomile,Leaves,Herbal Tea,California,Decaf,$80 ,$120 ,$100 ,$200 ,$95 ,821,$139 ,$26 ,$102 ,$234 ,$37 
310,1/1/2012,West,Major Territory,Lemon,Leaves,Herbal Tea,California,Decaf,$170 ,$220 ,$160 ,$390 ,$207 ,965,$245 ,$64 ,$160 ,$452 ,$85 
707,1/1/2012,West,Major Territory,Mint,Leaves,Herbal Tea,California,Decaf,$70 ,$90 ,$60 ,$160 ,$83 ,623,$107 ,$27 ,$67 ,$190 ,$40 
719,1/1/2012,Central,Major Territory,Darjeeling,Leaves,Tea,Colorado,Regular,$40 ,$70 ,$20 ,$110 ,$58 ,338,$72 ,$22 ,$17 ,$130 ,$55 
217,1/1/2012,Central,Major Territory,Darjeeling,Leaves,Tea,Illinois,Regular,$40 ,$70 ,$50 ,$110 ,$54 ,456,$80 ,$15 ,$53 ,$134 ,$27 
567,1/1/2012,Central,Major Territory,Darjeeling,Leaves,Tea,Ohio,Regular,$70 ,$110 ,$60 ,$180 ,$84 ,651,$126 ,$27 ,$68 ,$210 ,$58 
303,1/1/2012,Central,Major Territory,Earl Grey,Leaves,Tea,Colorado,Regular,$50 ,$70 ,$40 ,$120 ,$64 ,965,$76 ,$19 ,$36 ,$140 ,$40 
708,1/1/2012,Central,Major Territory,Earl Grey,Leaves,Tea,Illinois,Regular,$60 ,$90 ,$40 ,$150 ,$72 ,558,$108 ,$23 ,$54 ,$180 ,$54 
216,1/1/2012,Central,Major Territory,Earl Grey,Leaves,Tea,Ohio,Regular,$70 ,$100 ,$60 ,$170 ,$84 ,500,$116 ,$26 ,$67 ,$200 ,$49 
303,1/1/2012,Central,Major Territory,Green Tea,Leaves,Tea,Colorado,Regular,$30 ,$50 ,$30 ,$80 ,$44 ,623,$56 ,$14 ,$30 ,$100 ,$26 
954,1/1/2012,East,Major Territory,Darjeeling,Leaves,Tea,Florida,Regular,$30 ,$50 ,$40 ,$80 ,$32 ,821,$48 ,$8 ,$28 ,$80 ,$20 
508,1/1/2012,East,Major Territory,Darjeeling,Leaves,Tea,Massachusetts,Regular,$30 ,$50 ,$40 ,$80 ,$32 ,821,$48 ,$8 ,$29 ,$80 ,$19 
347,1/1/2012,East,Major Territory,Darjeeling,Leaves,Tea,New York,Regular,$100 ,$150 ,$120 ,$250 ,$95 ,821,$139 ,$26 ,$101 ,$234 ,$38 
646,1/1/2012,East,Major Territory,Earl Grey,Leaves,Tea,New York,Regular,$90 ,$140 ,$110 ,$230 ,$89 ,777,$130 ,$24 ,$94 ,$219 ,$36 
754,1/1/2012,East,Major Territory,Green Tea,Leaves,Tea,Florida,Regular,$30 ,$50 ,$40 ,$80 ,$33 ,777,$48 ,$9 ,$28 ,$81 ,$20 
781,1/1/2012,East,Major Territory,Green Tea,Leaves,Tea,Massachusetts,Regular,$30 ,$50 ,$40 ,$80 ,$32 ,456,$48 ,$8 ,$29 ,$80 ,$19 
347,1/1/2012,East,Major Territory,Green Tea,Leaves,Tea,New York,Regular,$50 ,$90 ,$70 ,$140 ,$54 ,456,$80 ,$15 ,$54 ,$134 ,$26 
619,1/1/2012,West,Major Territory,Darjeeling,Leaves,Tea,California,Regular,$50 ,$90 ,$80 ,$140 ,$89 ,777,$130 ,$24 ,$94 ,$219 ,$36 
650,1/1/2012,West,Major Territory,Earl Grey,Leaves,Tea,California,Regular,$30 ,$60 ,$60 ,$90 ,$54 ,456,$80 ,$15 ,$54 ,$134 ,$26 
760,1/1/2012,West,Major Territory,Green Tea,Leaves,Tea,California,Regular,$40 ,$80 ,$50 ,$120 ,$72 ,558,$108 ,$23 ,$54 ,$180 ,$54 
712,1/1/2012,Central,Small Territory,Decaf Irish Cream,Beans,Coffee,Iowa,Decaf,$20 ,$30 ,$20 ,$50 ,$23 ,623,$31 ,$7 ,$12 ,$54 ,$19 
573,1/1/2012,Central,Small Territory,Decaf Irish Cream,Beans,Coffee,Missouri,Decaf,$80 ,$90 ,$50 ,$170 ,$78 ,965,$92 ,$24 ,$47 ,$170 ,$45 
414,1/1/2012,Central,Small Territory,Decaf Irish Cream,Beans,Coffee,Wisconsin,Decaf,$80 ,$100 ,$60 ,$180 ,$77 ,432,$103 ,$25 ,$51 ,$180 ,$52 
563,1/1/2012,Central,Small Territory,Decaf Espresso,Beans,Espresso,Iowa,Decaf,$10 ,$40 ,$30 ,$50 ,$17 ,777,$26 ,$4 ,$10 ,$43 ,$16 
660,1/1/2012,Central,Small Territory,Decaf Espresso,Beans,Espresso,Missouri,Decaf,$50 ,$80 ,$60 ,$130 ,$46 ,777,$68 ,$12 ,$45 ,$114 ,$23 
262,1/1/2012,Central,Small Territory,Decaf Espresso,Beans,Espresso,Wisconsin,Decaf,$50 ,$70 ,$50 ,$120 ,$48 ,623,$62 ,$15 ,$34 ,$110 ,$28 
475,1/1/2012,East,Small Territory,Decaf Espresso,Beans,Espresso,Connecticut,Decaf,$50 ,$70 ,$40 ,$120 ,$55 ,312,$75 ,$18 ,$30 ,$130 ,$45 
985,1/1/2012,South,Small Territory,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,$40 ,$60 ,$50 ,$100 ,$33 ,777,$48 ,$9 ,$28 ,$81 ,$20 
505,1/1/2012,South,Small Territory,Decaf Irish Cream,Beans,Coffee,New Mexico,Decaf,$110 ,$10 ,($30),$120 ,$88 ,525,$11 ,$27 ,($39),$99 ,$50 
580,1/1/2012,South,Small Territory,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,$40 ,$60 ,$50 ,$100 ,$32 ,821,$48 ,$8 ,$28 ,$80 ,$20 
337,1/1/2012,South,Small Territory,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,$50 ,$70 ,$50 ,$120 ,$61 ,390,$89 ,$19 ,$48 ,$150 ,$41 
505,1/1/2012,South,Small Territory,Decaf Espresso,Beans,Espresso,New Mexico,Decaf,$30 ,$40 ,$10 ,$70 ,$35 ,196,$47 ,$11 ,$9 ,$82 ,$38 
405,1/1/2012,South,Small Territory,Decaf Espresso,Beans,Espresso,Oklahoma,Decaf,$70 ,$110 ,$70 ,$180 ,$84 ,651,$126 ,$27 ,$67 ,$210 ,$59 
775,1/1/2012,West,Small Territory,Decaf Irish Cream,Beans,Coffee,Nevada,Decaf,$30 ,$40 ,$20 ,$70 ,$28 ,965,$34 ,$8 ,$4 ,$62 ,$30 
971,1/1/2012,West,Small Territory,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,$70 ,$100 ,$70 ,$170 ,$57 ,364,$83 ,$18 ,$42 ,$140 ,$41 
801,1/1/2012,West,Small Territory,Decaf Irish Cream,Beans,Coffee,Utah,Decaf,$100 ,$130 ,$70 ,$230 ,$85 ,494,$105 ,$32 ,$39 ,$190 ,$66 
509,1/1/2012,West,Small Territory,Decaf Irish Cream,Beans,Coffee,Washington,Decaf,$90 ,$140 ,$60 ,$230 ,$79 ,551,$111 ,$72 ,$9 ,$190 ,$102 
